family,product,diameter,length,length_in,weight_each_lb,weight_source,unit_price,price_source,default
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",5/8,8-1/2,8.5,0.800,Todd's Kwik-Bolt sheet (exact size),9.97,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",5/8,10,10.0,0.930,fitted from Todd's Kwik-Bolt sheet weights for this diameter,11.84,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",3/4,4-3/4,4.75,0.708,fitted from Todd's Kwik-Bolt sheet weights for this diameter,8.31,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",3/4,5-1/2,5.5,0.800,Todd's Kwik-Bolt sheet (exact size),9.78,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",3/4,6-1/4,6.25,0.905,fitted from Todd's Kwik-Bolt sheet weights for this diameter,10.73,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",3/4,7,7.0,1.000,Todd's Kwik-Bolt sheet (exact size),11.68,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",3/4,8,8.0,1.135,fitted from Todd's Kwik-Bolt sheet weights for this diameter,13.41,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",3/4,9,9.0,1.266,fitted from Todd's Kwik-Bolt sheet weights for this diameter,17.73,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",3/4,10,10.0,1.400,Todd's Kwik-Bolt sheet (exact size),22.04,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",1,6-1/2,6.5,1.704,fitted from Todd's Kwik-Bolt sheet weights for this diameter,21.14,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",1,9,9.0,2.250,Todd's Kwik-Bolt sheet (exact size),26.80,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",1,12,12.0,2.950,Todd's Kwik-Bolt sheet (exact size),33.85,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
