family,name,cartridge_ml,weight_each_lb,unit_price,case_price,price_source,default
Adhesive,HIT-HY 200 V3,330,1.2,69.34,1473.11,hilti.com net single 330 ml cartridge 2026-09-03; MC case price; HY 200-A (fast cure) item 2334274 single cartridge,yes
Adhesive,HIT-RE 500 V3,330,1.2,74.82,1589.95,hilti.com net single 330 ml cartridge 2026-09-03; item 2123401 single 330 ml cartridge,
Adhesive,HIT-HY 270,330,1.2,74.53,1444.57,hilti.com net single 330 ml cartridge 2026-09-03; item 2194247 single 330 ml cartridge,
